ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
9.199,-4.509,-8.476,8.281,-4.588,-8.280,9.365,-5.452,-8.516
0.944,-3.462,-1.570,1.370,-3.416,-0.698,1.372,-2.657,-1.985
-0.398,12.846,1.278,-0.141,12.095,0.710,-0.098,13.604,0.735
-7.874,-8.702,0.285,-7.260,-8.464,-0.440,-7.430,-9.604,0.501
-0.838,-0.523,-11.348,-1.653,-0.084,-11.142,-1.091,-1.390,-11.028
10.371,4.970,-2.155,10.431,5.060,-3.105,10.088,5.894,-2.041
1.417,-5.458,12.463,0.954,-4.857,11.861,1.437,-6.285,11.941
2.057,8.037,-0.354,1.336,7.421,-0.254,2.355,8.024,-1.294
-3.899,-3.329,6.984,-4.762,-2.837,7.126,-3.555,-2.985,6.156
12.216,0.662,-3.975,11.345,1.024,-4.164,12.718,1.116,-4.668
9.925,-7.237,2.097,10.453,-8.041,1.859,10.299,-6.569,1.525
-5.364,6.887,-3.193,-4.686,6.929,-2.489,-5.218,6.002,-3.535
-0.019,10.640,-0.605,-0.338,11.063,-1.449,-0.370,9.750,-0.564
10.586,12.251,6.480,10.688,13.222,6.317,11.277,11.851,5.925
-4.823,4.159,-3.904,-5.706,3.868,-4.266,-4.856,3.888,-2.946
1.181,-3.115,-11.431,0.858,-2.500,-10.801,1.812,-2.474,-11.851
-10.117,-5.970,7.899,-10.719,-6.403,8.522,-10.765,-5.897,7.207
-9.073,11.877,11.308,-9.678,12.170,12.019,-9.397,12.521,10.650
3.755,-8.325,5.963,4.459,-8.952,5.647,3.391,-8.805,6.693
2.888,12.233,-2.465,3.342,12.803,-3.108,2.006,12.556,-2.709
-3.319,5.736,4.964,-3.044,4.891,4.528,-2.444,5.928,5.354
1.425,7.275,5.470,0.536,7.546,5.488,1.860,7.855,4.892
-8.464,5.267,6.872,-8.025,4.372,6.820,-8.176,5.662,7.756
12.015,-0.421,-12.801,11.910,0.191,-13.575,12.237,0.146,-12.018
-9.677,-9.153,-2.329,-10.315,-8.456,-2.649,-9.723,-9.077,-1.461
-10.638,-9.108,9.436,-11.100,-8.265,9.667,-10.574,-9.124,8.416
7.985,12.181,8.498,8.058,11.328,8.893,8.642,12.134,7.775
-2.513,5.878,12.391,-2.127,6.389,13.096,-1.707,5.699,11.744
2.242,5.997,-4.460,3.218,6.022,-4.655,2.121,5.118,-4.077
4.789,-2.817,-4.346,5.547,-2.150,-4.430,4.347,-2.778,-5.235
5.801,-7.154,-8.174,6.185,-6.350,-7.907,6.418,-7.796,-7.831
7.355,-1.681,1.121,7.337,-2.631,1.406,6.400,-1.426,1.107
-4.103,-1.504,10.312,-4.188,-1.537,11.281,-3.221,-1.959,10.170
9.983,-7.892,4.839,10.249,-7.715,3.930,9.269,-7.204,4.933
8.618,7.052,5.686,8.115,6.786,4.941,8.001,7.750,5.974
4.087,-8.304,-0.259,3.614,-9.101,-0.644,3.496,-7.579,-0.469
-0.372,-0.180,4.232,-1.158,-0.030,3.677,-0.328,-1.108,4.030
1.099,9.905,-10.330,0.157,9.687,-10.377,1.525,9.161,-10.781
6.362,9.242,6.445,5.856,9.711,5.753,7.079,9.890,6.629
3.526,-1.759,5.017,2.567,-1.563,5.135,3.942,-0.888,5.078
-7.270,-1.622,-8.424,-6.638,-1.330,-7.772,-6.788,-2.332,-8.872
1.344,9.388,3.637,1.036,9.134,2.736,0.727,10.018,3.977
4.355,-5.433,-10.696,4.974,-5.179,-11.364,4.623,-6.368,-10.625
-6.765,-3.701,-6.150,-7.051,-3.181,-6.913,-7.623,-4.125,-5.970
-2.851,4.167,-8.777,-2.842,4.614,-7.941,-3.679,3.731,-8.679
-4.001,-5.868,-8.844,-3.454,-5.520,-8.063,-3.296,-6.036,-9.464
6.354,1.099,13.122,5.814,0.397,12.674,5.705,1.301,13.854
-1.469,8.931,-10.298,-1.869,8.606,-9.476,-2.054,9.686,-10.474
1.703,4.361,12.344,2.409,4.350,13.017,0.937,4.192,12.891
11.303,3.691,-7.377,10.465,4.166,-7.227,11.081,3.221,-8.155
4.028,6.543,11.109,4.419,5.703,11.500,4.570,7.208,11.556
3.256,11.896,2.429,2.445,12.012,2.938,3.042,11.599,1.551
6.137,-3.411,-1.787,5.851,-3.132,-2.686,5.351,-3.679,-1.303
-3.170,8.376,-8.253,-3.504,8.330,-7.374,-3.929,8.055,-8.742
8.460,-4.199,-5.757,8.946,-4.565,-5.016,9.154,-4.162,-6.395
-8.970,6.093,4.051,-8.245,5.501,4.077,-9.591,5.582,4.613
11.429,-5.276,12.377,11.328,-4.494,11.800,10.598,-5.103,12.884
7.055,-6.625,-5.199,6.214,-6.105,-5.141,7.762,-5.993,-5.251
-3.291,2.041,12.042,-2.657,1.444,12.394,-4.075,1.805,12.541
-2.697,0.782,3.151,-3.203,1.315,3.837,-3.240,1.158,2.393
-8.133,9.308,10.616,-8.408,10.281,10.607,-8.519,9.121,11.495
4.082,0.434,-1.133,3.638,1.101,-1.577,4.938,0.885,-1.076
-7.310,-0.872,-2.772,-8.063,-1.407,-2.544,-7.486,-0.669,-3.718
5.937,9.938,9.471,5.977,9.024,9.797,6.234,9.989,8.552
8.907,4.541,-7.743,8.436,3.677,-7.595,8.151,5.134,-8.006
10.655,5.710,2.844,10.455,5.420,3.794,10.851,6.658,3.002
2.446,-6.520,-1.395,2.444,-6.777,-2.388,2.025,-5.642,-1.575
-7.403,-6.695,8.338,-7.281,-5.918,8.909,-8.282,-6.506,8.022
